Wall time,Step,Value
1735826259.3893723,10596,-2597.875732421875
1735826262.129625,10655,-2597.855712890625
1735826264.9653466,10716,-2497.835693359375
1735826267.4390593,10770,-2497.794677734375
1735826270.0717807,10825,-2497.775634765625
1735826272.6255925,10879,-2497.7646484375
1735826275.2202392,10935,-2297.76708984375
1735826277.9583006,10995,-2197.753662109375
1735826280.7730312,11056,-1997.7386474609375
1735826283.4014704,11112,-1997.7371826171875
1735826286.1967058,11172,-1997.7515869140625
1735826289.040155,11232,-1897.754638671875
1735826291.838917,11292,-1697.7686767578125
1735826294.2148883,11344,-1797.7581787109375
1735826296.805093,11400,-1897.778076171875
1735826299.3526394,11454,-1997.745361328125
1735826301.771758,11507,-2097.720947265625
1735826304.268223,11560,-2297.709228515625
1735826306.8280983,11614,-2397.683837890625
1735826309.4130516,11668,-2397.646484375
1735826312.1245744,11727,-2397.6064453125
1735826314.8087413,11783,-2397.594970703125
1735826317.5625813,11842,-2397.5732421875
1735826320.378837,11903,-2397.57666015625
1735826322.4277437,11947,-2597.56494140625
1735826325.0098417,12002,-2597.540771484375
1735826327.2766168,12051,-2897.53515625
1735826330.0493186,12111,-2797.540771484375
1735826332.5212567,12166,-2797.5283203125
1735826335.1914828,12225,-2597.509033203125
1735826337.9611936,12285,-2497.513427734375
1735826340.907967,12347,-2397.5185546875
1735826343.4928603,12401,-2497.502197265625
1735826346.308283,12459,-2597.49609375
1735826348.7433398,12512,-2597.478759765625
1735826351.0910866,12562,-2697.462158203125
1735826353.811511,12622,-2797.46142578125
1735826356.5971742,12681,-2897.428955078125
1735826359.450219,12740,-2697.433349609375
1735826362.265147,12800,-2597.424560546875
1735826364.794171,12854,-2597.427001953125
1735826367.4094176,12909,-2497.442626953125
1735826370.3571587,12970,-2297.464599609375
1735826373.2165747,13028,-2297.466064453125
1735826375.8363407,13082,-2197.5
1735826378.6584508,13142,-2197.510498046875
1735826381.1317022,13196,-2197.509033203125
1735826383.1522095,13239,-2497.53173828125
1735826385.402378,13287,-2797.502685546875
1735826387.9024687,13340,-2697.4833984375
1735826390.5512378,13395,-2697.49609375
1735826393.2544773,13451,-2497.498046875
1735826396.2027304,13511,-2497.482666015625
1735826399.0911505,13573,-2297.50341796875
1735826401.7376833,13628,-2397.512451171875
1735826404.3235178,13684,-2497.5263671875
1735826407.1933782,13745,-2497.518798828125
1735826410.1425545,13805,-2397.52734375
1735826412.367007,13851,-2597.52490234375
1735826414.9058359,13906,-2597.547119140625
1735826417.4441843,13961,-2497.546142578125
1735826420.10814,14018,-2497.539794921875
1735826422.9585505,14079,-2397.572998046875
1735826425.6404266,14132,-2597.56640625
1735826428.612081,14192,-2597.56396484375
1735826430.9297183,14243,-2597.579345703125
1735826433.4300594,14296,-2597.5703125
1735826436.0940087,14351,-2697.556396484375
1735826438.3341157,14400,-2897.560791015625
1735826441.170281,14459,-2797.5380859375
1735826443.9874918,14514,-2897.530029296875
1735826446.3689399,14564,-2997.530517578125
1735826449.142918,14623,-2697.494140625
1735826451.696275,14677,-2497.515625
1735826454.6459818,14736,-2297.52978515625
1735826457.4460764,14794,-2197.5048828125
1735826460.6239297,14855,-2097.526611328125
1735826463.769206,14914,-2097.52880859375
1735826466.7619536,14974,-2097.5361328125
1735826469.485727,15030,-2097.53857421875
1735826472.3130136,15088,-2097.513916015625
1735826475.2192652,15148,-2097.510986328125
1735826478.3356087,15208,-2097.5029296875
1735826481.105713,15263,-1897.518310546875
1735826483.949957,15322,-1797.5147705078125
1735826486.7724762,15379,-1797.5125732421875
1735826489.6386185,15437,-1797.5020751953125
1735826492.6185753,15497,-1797.4925537109375
1735826495.290152,15551,-1697.503173828125
1735826498.0405452,15605,-1797.5096435546875
1735826500.758602,15659,-1697.4844970703125
1735826503.5029616,15713,-1797.4747314453125
1735826506.430734,15771,-1697.4652099609375
1735826508.7390811,15819,-1597.46728515625
1735826511.5396128,15875,-1697.4676513671875
1735826513.6507726,15919,-1897.47216796875
1735826516.5897057,15978,-1697.4500732421875
1735826519.144217,16032,-1797.4591064453125
1735826521.7228317,16085,-1797.423583984375
1735826524.658404,16144,-1897.4039306640625
1735826527.287305,16198,-1997.41650390625
1735826529.8958879,16250,-2197.402587890625
1735826532.830861,16310,-2197.400146484375
1735826535.8054655,16370,-2197.396728515625
1735826538.3705263,16423,-2197.369873046875
1735826541.0115397,16477,-2297.361083984375
1735826543.9717305,16535,-2397.330078125
1735826546.802477,16589,-2697.33056640625
1735826549.3443496,16640,-2797.30126953125
1735826552.2747078,16700,-2797.293212890625
1735826555.2407258,16759,-2697.29248046875
1735826558.0428877,16816,-2697.288818359375
1735826560.9536536,16875,-2797.272216796875
1735826563.593641,16926,-2897.26220703125
1735826566.561693,16985,-2797.25
1735826569.682185,17045,-2697.261962890625
1735826572.306584,17098,-2697.27294921875
1735826575.1501398,17155,-2797.26953125
1735826578.0914583,17214,-2697.25732421875
1735826581.3316605,17271,-2697.24853515625
1735826584.3858533,17328,-2597.23583984375
1735826587.0460014,17381,-2797.243896484375
1735826589.8081832,17436,-2897.258544921875
1735826592.2254448,17485,-3097.277587890625
1735826594.8718991,17538,-3197.270751953125
1735826597.7712073,17597,-3197.265625
1735826600.6640604,17655,-3097.2568359375
1735826603.6274045,17714,-3097.24267578125
1735826606.3177161,17769,-3197.199462890625
1735826608.9564898,17823,-3197.215087890625
1735826611.6207128,17877,-3097.220947265625
